V1,V2
E2F1,ZEB1
E2F1,STAT5B
E2F1,E2F2
E2F1,MYBL2
E2F1,NDN
E2F1,RAD51
E2F1,CRTAP
E2F1,OIP5
E2F1,OSR2
E2F1,BRI3BP
E2F1,CSRP1
E2F1,EZH2
E2F1,FANCA
E2F1,FEN1
E2F1,TBC1D2B
E2F1,NUP210
E2F1,UBE2T
E2F1,UHRF1
E2F1,HDGF
E2F1,NUSAP1
E2F1,DTL
E2F1,ASF1B
E2F1,RRM2
E2F1,BLM
E2F1,TYMS
E2F1,CDT1
E2F1,RELT
E2F1,CDK1
E2F1,CDC25A
E2F1,CCNE1
E2F1,PKMYT1
E2F1,PEG3
E2F1,MCM10
E2F1,KLF9
E2F1,GINS1
E2F1,CENPM
E2F1,CDC6
E2F1,CDC45
E2F1,ZBTB4
E2F1,TOP2A
E2F1,TNXB
E2F1,TK1
E2F1,TACC3
E2F1,SYNE1
E2F1,STIL
E2F1,SOX15
E2F1,SOCS2
E2F1,SDC1
E2F1,SAP30L
E2F1,RECK
E2F1,RCC2
E2F1,RAD54L
E2F1,PRLHR
E2F1,PRDM8
E2F1,PPP1R12B
E2F1,PBK
E2F1,NEK2
E2F1,MELK
E2F1,LTBP4
E2F1,LOC283856
E2F1,KLF17
E2F1,KIF4A
E2F1,KIF2C
E2F1,KIF11
E2F1,KCNS2
E2F1,JPH2
E2F1,HIST1H2AM
E2F1,GAS1
E2F1,FANCI
E2F1,FAM72D
E2F1,FAM72B
E2F1,EZH1
E2F1,EXO1
E2F1,E2F8
E2F1,DIXDC1
E2F1,CENPF
E2F1,CDCA5
E2F1,CDCA3
E2F1,CAV1
E2F1,CAMK2A
E2F1,ARHGAP6
E2F1,ARHGAP20
E2F1,ARHGAP11A
E2F1,CCNA2
MEF2C,STAT5B
MEF2C,HLF
MEF2C,CDK1
MEF2C,ST14
MEF2C,CCNB1
ZEB1,E2F2
ZEB1,RUNX1T1
ZEB1,NR2F2
ZEB1,HIC1
ZEB1,FANCA
ZEB1,CCNE1
ZEB1,CENPM
ZEB1,TACC3
ZEB1,LTBP4
ZEB1,ARHGAP20
ZEB1,FAM83H
ZEB1,BAIAP2L1
ZEB1,MMRN2
ZEB1,TPM1
ZEB1,TMEM8A
ZEB1,TLCD1
ZEB1,RECQL4
ZEB1,PABPC5
ZEB1,LGI4
ZEB1,HSPB7
ZEB1,HMMR
ZEB1,DSTN
ZEB1,DBNDD1
ZEB1,CDH13
ZEB1,CACNB2
STAT5B,E2F2
STAT5B,KLF9
STAT5B,SOCS2
STAT5B,TIMP3
STAT5B,ESCO2
E2F2,MYBL2
E2F2,RAD51
E2F2,UHRF1
E2F2,DTL
E2F2,CDC25A
E2F2,CCNE1
E2F2,PKMYT1
E2F2,PEG3
E2F2,MCM10
E2F2,KLF9
E2F2,GINS1
E2F2,CENPM
E2F2,CDC6
E2F2,CDC45
E2F2,ZBTB4
E2F2,TNXB
E2F2,TACC3
E2F2,SYNE1
E2F2,SOX15
E2F2,SDC1
E2F2,SAP30L
E2F2,PRLHR
E2F2,PRDM8
E2F2,PPP1R12B
E2F2,NEK2
E2F2,MELK
E2F2,LTBP4
E2F2,LOC283856
E2F2,KCNS2
E2F2,FAM72D
E2F2,FAM72B
E2F2,CDCA3
E2F2,CAMK2A
E2F2,ARHGAP6
E2F2,ARHGAP11A
E2F2,CCNA2
E2F2,AOC3
RUNX1T1,ZBTB16
NR2F2,CSRP1
NR2F2,FAM83H
NR2F2,GTSE1
NR2F2,ERCC6L
NR2F2,CFL2
MYBL2,CCNE1
MYBL2,CCNA2
HLF,ZBTB4
HLF,TMEM196
HLF,SORBS1
HLF,MYLK
HLF,FOXP2
HLF,CLEC3B
ESPL1,PTTG1
FOXM1,CDK1
PTTG1,CDK1
PTTG1,CDC20
RAD51,BLM
RAD51,RAD54L
RAD51,FANCD2
TGFB1I1,TRAF4
