Label AOC3 ARHGAP11A ARHGAP20 ARHGAP6 ASF1B BAIAP2L1 BLM BRI3BP CACNB2 CAMK2A CAV1 CCNA2 CCNB1 CCNE1 CDC20 CDC25A CDC45 CDC6 CDCA3 CDCA5 CDH13 CDK1 CDT1 CENPF CENPM CFL2 CLEC3B CRTAP CSRP1 DBNDD1 DIXDC1 DSTN DTL E2F1 E2F2 E2F8 ERCC6L ESCO2 ESPL1 EXO1 EZH1 EZH2 FAM72B FAM72D FAM83H FANCA FANCD2 FANCI FEN1 FOXM1 FOXP2 GAS1 GINS1 GTSE1 HDGF HIC1 HIST1H2AM HLF HMMR HSPB7 JPH2 KCNS2 KIF11 KIF2C KIF4A KLF17 KLF9 LGI4 LOC283856 LTBP4 MCM10 MEF2C MELK MMRN2 MYBL2 MYLK NDN NEK2 NR2F2 NUP210 NUSAP1 OIP5 OSR2 PABPC5 PBK PEG3 PKMYT1 PPP1R12B PRDM8 PRLHR PTTG1 RAD51 RAD54L RCC2 RECK RECQL4 RELT RRM2 RUNX1T1 SAP30L SDC1 SOCS2 SORBS1 SOX15 ST14 STAT5B STIL SYNE1 TACC3 TBC1D2B TGFB1I1 TIMP3 TK1 TLCD1 TMEM196 TMEM8A TNXB TOP2A TPM1 TRAF4 TYMS UBE2T UHRF1 ZBTB16 ZBTB4 ZEB1
TCGA-EY-A549-01 0 -0.675395020302969 -0.348975253657108 -0.433996996872364 -0.682213100162396 -0.402445870276241 0.0384395707883943 -0.74960094078292 -0.51414657389668 -0.197911724219615 -0.373824638344525 -0.513247042952839 -0.24676437772133 -0.582315028056634 -0.535074722601736 -0.425658353613946 -0.62228353326231 -0.287686307747274 -0.701796604975766 -0.719724049985515 -0.784500753011115 -0.888082606404552 0.0860305017906482 -0.367860842337445 0.112677850973502 0.0575888205320624 -0.32042767045472 -0.790126359410966 0.0058881092812358 -0.247627513236713 0.51768832811988 0.416422908735054 -0.0476643541724045 -0.570137803050726 -1.2071632348666 -0.583795513627501 -0.244253423345031 -0.165944144341676 0.318133774505723 -0.456366550184622 -0.184057961077002 0.42831859375786 0.100946290144421 0.201246730324752 0.160991262733497 0.131465775852365 -0.556511416074014 -0.566882168211199 -0.239091042699462 -1.42535761327073 -0.453897259352614 -0.603029691694292 -1.33322885041833 -0.663938713880624 -0.422471951461999 -0.327033769407945 -0.826958419569278 0.110335577369863 0.00300995773987751 0.019550297208603 -0.664257846663592 -0.99655915607707 -0.755105594125428 -0.366529318291509 -0.73122697327021 -0.344443503864009 -0.658556672244897 0.628482570466305 -0.567093850294125 -0.661720981227941 -0.405931133303913 -0.582173860062186 -0.650151987288961 -0.055964983506475 -0.666059431335716 -0.699193157498406 -0.335880660593003 -0.653167673143634 0.621239421420424 -0.540538140844165 0.455029502461408 -0.0961735448884305 -0.245203117792035 -0.287818364329596 0.327321594562929 0.119987560380321 0.146194345161986 -0.630632054431431 -0.382059362076918 -1.03428467092933 -0.576158321835209 -0.434853697918299 -0.902302663300942 -0.459211430739986 -0.532838918299804 -0.578081289643199 -0.497538841025161 1.04386580932835 -0.520638606087434 -0.293618857409268 -0.310448024806076 0.601112509035855 -0.911204151455779 -0.315037655697964 0.183400781402139 0.305826531395549 0.385384438386764 0.30345729980543 -0.265704266671026 -0.823769808276096 -0.449746882652207 -0.434613555248733 -1.19974531701613 -0.777069043781141 0.230818861204112 -0.547768428177382 -0.714424575952603 -0.692776830520315 0.0238454755993021 -0.559027890073867 0.101947791517431 -0.516330018835766 -0.0722044467812229 -0.298694352028894 -0.900595771895742 0.113352773505512 -0.370658060744943
TCGA-BK-A139-02 0 0.67816749427505 1.11963262110573 0.187829180464868 -0.205994774306531 0.657171953615166 0.760973041567315 1.15973265267706 0.109797905782079 0.493049470174956 0.321988794428011 0.10489883653592 1.34901246865006 1.03250999060233 1.06653825329103 0.625147036756707 0.810323786549325 0.605890493668033 -0.469205421846913 0.837744897922482 0.2496936466808 0.911786209232494 0.925046153450629 -0.640760090816635 1.21358258287196 0.442281444933138 0.117856654518621 -0.39077134914506 -0.0741609380447227 -0.515476740901139 -0.923167036315762 -0.0863413709732873 0.429388117160993 0.730712703580675 0.940525099327658 0.0384053452454083 0.830934700362477 0.997729469558203 0.466324435210115 0.630993321322106 0.611177893795913 0.605263611260963 0.545111666609098 0.883412141595792 1.09097164292371 -0.518707599837085 0.72386566823078 1.83093910468425 1.49738638861961 0.0466336297598095 1.06887394246899 0.190515183170421 1.13794539747794 1.00643400527802 0.136202139875831 1.20060105231861 0.0600317797774251 -0.425763740010167 -0.315254827488488 1.35926320108258 -0.123489068653167 0.294094146418142 0.0141104681166179 0.0452117254086449 0.765593234229047 0.677999646328679 0.285882572292277 1.12099931958219 -0.239382504069391 0.326152499612587 -0.791283558745077 0.821928344077729 0.244542699670389 0.548365330451545 -0.277790843129922 0.359912236693414 0.338584433945879 0.294887783269753 1.0155223349523 -0.310949974813546 0.355323083493405 1.32973771805612 1.06633034825398 -0.24227806520323 0.187119889156175 0.751489259720543 -0.182354102323207 0.149195672487905 -0.0349705325796152 0.158049986002157 -0.576158321835209 0.452758865091226 0.857013286172653 0.747565480700374 0.366374935545497 0.664855585697198 0.0307448774919892 0.338456273134365 0.568190893676737 0.132153943164207 -1.15572014714426 -0.183942542760588 -0.700123621108315 -0.262809593457409 0.0365012904206796 -0.158860279525879 0.613824905166732 1.02572660851441 -0.0511883848111195 0.639845846684084 -0.172355761728757 0.230318046748852 1.29925755202872 0.483259552166729 -0.369786844311093 -0.243675013666787 -0.46213164894313 -1.21276987213475 0.478823662008894 0.173946166812729 -0.0959526724932868 -0.165356466284028 0.976261768826353 0.994502603808512 0.0365851324933946 0.272096394526028 0.542594097867473
TCGA-AX-A3G1-01 0 -0.525137482913906 1.09480759333127 -0.356608354039676 -0.25930352381088 0.991216036659813 0.861918806840306 0.839418259981706 0.597383090520055 -0.4080236545648 0.136602221188283 -0.0740163386813824 0.729330257798219 0.941739615406853 1.01791056928771 0.668707303255018 0.586273599930138 0.40141597998402 0.298110285053439 0.616522688052915 0.525897677020857 0.426681202993755 0.321539818914552 0.344734184788262 1.04763471038033 -0.000743410666736282 0.191290221777269 -0.247444696177754 -1.24565630876619 -0.683119657378809 -0.544230430455487 -0.711439074869553 -1.11028798964252 0.509545039088346 0.667105928218115 0.615855290125585 0.563517657242422 0.887957856388789 0.853287634160168 0.484411082223217 0.747295811006448 -1.54765242302751 1.19575182209818 0.853873277962221 1.01944011171023 0.134551298939305 0.344854347754517 0.433287736595498 0.901908741772784 0.782388965404524 0.935950963047974 -0.523777436505596 -0.828424781768633 -0.237585377745684 0.62277819427038 0.661575791326405 -0.194459744555245 0.0947184858721337 -0.213188664539861 0.755451322751327 -1.06925846812637 -0.89671428948155 -0.176038639156573 0.605887651947882 0.788565344209711 0.877750796363686 0.0817220465212514 0.341913357130959 -0.337549390196323 0.0819515920897044 -0.998888867586711 0.468015742282679 0.511982285019356 0.945600881789145 0.564164696252476 0.803966569338505 -0.529273749654589 -0.39558034598763 0.870581858084344 0.139516758331287 0.658120363871778 0.70158892028155 0.567191414433073 -0.493734010811637 -0.583270790987009 0.796715502435661 -0.671865135627933 0.506695069572895 0.0671765644704561 -0.156712897635943 -0.576158321835209 0.890417926903949 -0.089542236611562 0.435929262107926 1.12016915376969 -0.0983512675819928 0.282962047517958 0.630195610394458 0.621188192278059 -0.460140428185703 -0.0139732347267827 0.577741366307908 -0.731476047070683 -0.334557234515141 -0.887188590941198 0.615971002060173 -0.762218379361297 1.03657547753435 0.438537328128061 0.448796660689281 -0.0886640595283189 -0.841332160402822 -0.584618679245154 0.664176586675544 0.240294272379697 -0.150394462279273 1.17741023366102 -0.287807139273512 0.561455064592697 -0.0130097700735514 -0.169884237883654 0.0483295591648186 0.604351678741879 0.34457457656994 -0.407719684781321 -1.21691618734909 -0.108723727247527
TCGA-EY-A2OQ-01 0 -1.59272276264674 0.341320679942317 0.137282966411314 -0.261156892961077 0.331904737899514 -0.0709020705131044 0.476628821365027 -1.0476705280176 -0.750388779645025 -1.14589159799624 -0.740824088538963 0.549939115984812 0.612661212588551 0.727798116583482 0.213733594253473 0.315200534637789 0.120553231370634 -0.319251171778324 -0.0450770479161321 0.609689232156828 -0.6219099238358 -0.292422222653105 -0.154063228067983 0.79798559175614 -0.00843351188587027 -1.21669148831907 -1.60739121744713 0.457231562377682 -1.87455717489706 -0.620032942511721 0.971681581256783 -0.204801570236616 0.133598473393039 0.66107273524058 1.02065294573432 0.65724752214144 -0.282804330317235 -0.407704619521524 0.52070349724103 0.502025675999822 -1.40143056778539 0.685893454638899 0.139543326290186 0.355571122517158 0.809006399791199 -1.02214786382586 -0.146790253236302 -0.195317652383695 0.326326383087846 0.451163621402065 -0.82238464366076 0.180770495410825 -0.0460196680630414 0.584443976529539 2.08913191619256 -0.0521731121564829 -1.70242816093377 0.542317183150628 0.262081119067576 -0.469503232399958 -1.36844090722919 -0.755105594125428 0.594814934637221 0.110636580327767 0.0451305920983747 -0.0440413621879569 -1.01940602047229 -1.38091849996002 -0.661720981227941 -0.186797965892282 0.76692504942463 1.58219124071236 0.222198472045561 -1.26771260499243 0.0135703205635442 -0.880751443877067 -0.0585107831222797 0.349437831454054 -1.08210257076328 0.608467046967904 0.484881761143404 0.298566961256054 0.495028564456494 -0.852838423306935 -0.663193669494421 -0.493953756745741 0.208927368540172 -0.463743676484406 -0.466069061833816 -0.576158321835209 0.401857588015081 0.749122904872699 -0.419165370167692 0.938394609243297 -0.0567545149940278 0.517858439887628 0.546433582078346 0.280839540660366 -0.178359809401264 1.49425412318509 -0.337216703740613 -0.0578504670314983 0.816335890098834 -0.625154950441544 0.788716796675584 -0.80985064690265 -1.39146384866272 0.253860757733811 0.181229969696561 -0.848891923915837 0.220678737487312 -0.516856472171434 0.351129832013607 0.318601777595056 0.189011881323488 -0.398153059797186 -0.355144105399984 0.170804866414797 -1.66049118088581 1.3087470699237 0.349399957251854 -0.242252451873429 0.939782184551522 -0.245451458653168 -1.13954643227074 -0.00552880747697907
TCGA-B5-A1MW-01 0 -0.754357397472968 1.02542855676512 -1.11250613899625 -1.01806309932703 0.369162830335849 -0.198597487318784 0.739652988891583 0.877301039782531 -0.752185087892699 -0.265413689776395 -1.29164588821117 0.904556192956232 0.851183996619567 0.529101575677223 0.474554377293585 1.25088666894156 0.720212700370383 0.709324377335634 0.0479977562946846 0.792677422861123 0.000570937408074428 0.29148880080281 0.472745267505456 0.935750206136518 0.316426373761455 -0.651324315152974 -1.16231178618835 -2.6753930907526 0.517717591567465 0.711903782356144 0.200459134792255 0.0356049398103387 0.789870245839667 -0.0608565691350414 1.03446279809927 0.348020947448354 0.614338946071667 1.58918470461272 0.686409883175651 0.805207593740584 -0.785437538552689 0.983996755381537 0.0591684430205734 0.238583593636 1.22286895297431 0.678477197806127 1.02903888044165 0.24720240734608 0.614765542104147 0.724266716013376 -0.82238464366076 -0.391783918920901 0.613886382616492 0.981097439681043 0.24180514533429 -1.19804676994372 -0.172084430219323 -0.73169342199371 1.02737296897914 -1.10866221631106 -0.877499018597966 -0.368428851048577 0.845659826798504 0.47953177709756 0.76282104229168 -0.658556672244897 -1.23691498228841 -0.171224621827585 -0.661720981227941 -1.53664789168976 0.835865830505663 -1.00553646296189 0.450189993197886 -0.474861622353703 0.467046312916255 -0.470637315700887 -1.19018642488869 0.429750948819047 -2.16460371176069 1.12474960292332 0.983186156718694 0.733690713584886 0.173009215878991 -0.854165253326557 1.43139717196679 -1.01889082444797 0.500360639502729 -0.751501557395739 -1.55741028016485 -0.576158321835209 0.0448592406661373 0.600170794802135 0.659575386498473 0.899624983141361 -0.244443668539726 0.568688260471308 1.50312920322066 0.941556862323053 -0.606977936534224 -0.620185277182233 1.24733410592808 -0.820953032276041 0.146105066688618 -0.169243191355755 0.948371065896107 1.01767308733709 0.653196739218111 -1.50682783978791 0.322315670692723 -0.611934850749144 0.164590006721728 -0.925547283584808 0.240565969289052 -0.760038421728343 -0.547768428177382 -0.407930919647793 -1.44773833271142 1.05341253290554 1.67885386225745 0.450428769574182 0.726940656784798 0.289357327203891 0.621245648749723 -0.900595771895742 -0.470084928813183 -1.00870469883845
TCGA-DF-A2L0-01 0 -1.09181451756013 -0.224922915452781 -1.72055976125309 -1.28904517823477 0.239892943318051 0.0773925305020525 -1.14391824853708 1.33754580020491 -2.26439595927099 -0.673350802638888 -1.57724775566378 -0.628598925768522 0.0572295555367335 0.899416117194584 1.25755754236367 1.24487050652308 0.489912814382074 0.348836648578125 1.02027744247472 1.12367520987625 -1.08389612235875 -0.336292322086307 1.23304193689742 -1.37830741684757 1.17402896256522 -0.40232748636576 0.844119354046504 -0.295490039964052 0.0464374791443848 0.233466885119449 -1.23323640928216 0.222557935332885 -0.263734043860137 1.57086539967198 0.551875467776601 -0.827837969929119 -0.226433298954097 -0.59881947160236 -0.914802774616208 0.122263414391846 -1.5417882509777 0.0161510819102559 0.197745827968181 -0.306747429546166 0.72616681256573 0.739487746423453 -0.393449726249085 -0.0766608540334399 1.87655470557166 -0.28650288502755 -0.82238464366076 -0.987210783897262 -0.130765497729255 -0.348888534993738 0.714204588556492 -0.683227863628203 -1.0155386071597 -1.70919317409746 -0.24089762335214 0.404171607642593 0.651481619964112 -0.755105594125428 -0.0201309767456288 0.730715870170811 0.205654544382045 -0.658556672244897 -1.26342918599668 0.540091875326549 -0.661720981227941 -1.64844734890237 -0.303872122138679 -1.05540444517805 -1.03081848294292 -0.625193346736746 1.10209175637644 -1.3777000917704 -0.349567160553172 -0.537367693388438 -1.33530865817983 -0.184067054724843 0.0584704314073037 0.719631304565599 -1.0921449154702 -1.68205190098671 0.198578252241301 -1.80869099496107 0.971483875971321 -0.940448664513944 -0.587618235664571 -0.576158321835209 1.89195513149586 1.01946891778523 1.03133631547793 -0.92979159523972 -0.217959922947388 1.68614489280506 0.335981485934115 0.336221717698749 -1.38720379490325 0.236166876948273 -0.929475662139043 -1.23924342309907 -1.06639489677477 -0.362999603652759 1.48175721484214 -1.94179206149086 -1.20937455784598 -1.73589673177662 0.939347240675935 -1.02802153213432 -0.401478429662189 -0.882272861278914 1.58802808718174 0.348110915256158 -0.547768428177382 1.98136759915532 -0.0123708755564082 -1.03067594604164 0.414210824658552 0.431688195330744 -1.01679762548176 0.46087367444533 -0.158911185799927 -0.900595771895742 -1.28705270989924 -1.44362209075391
TCGA-AJ-A3QS-01 0 -0.238313866976731 0.962601580315393 0.0716056799395046 -0.0103180103436337 0.744417502362341 -0.365636369699912 0.542530825603783 0.387573188562142 0.0841086706652921 -0.219536410031533 -0.145544192639741 0.786709570171683 0.347866561288813 0.630491071973212 0.391022895599872 0.603976330724741 0.403355247867676 1.76733138799336 0.0124730218630753 0.428030107215325 -0.14677664429857 0.471575558976102 0.201884006412808 0.903263697862043 -0.201998986474807 0.159564068932515 -0.216819747541741 0.824183343519275 -0.7964338509239 0.97857975412913 0.115808089071252 -0.317080811800446 0.677940175635723 0.161922290705623 0.0379974593105787 1.17399147119113 1.08103707758468 0.0531656457834605 0.61789980033514 0.556069198318995 0.311417598764817 0.360379248670381 1.08551631722201 1.15446909082848 0.698262951605573 0.395239068411963 1.03135131300114 0.077194137440882 0.30431619734485 0.22064283814281 -0.317312643823885 -0.0877537265976509 0.642598084470619 0.41088309203375 0.71476446937809 -0.496781236227034 0.653324788057714 0.288535723751247 0.889631740158273 0.0552974944307845 0.0683147135360306 -0.755105594125428 0.77744642015628 0.248692813058281 0.736165972567938 -0.102888403195865 0.88337347646415 -0.872773269615855 0.275895377212139 -0.508331750871623 0.970412351272474 0.270828533669867 0.706421709252994 -0.0223166376130003 0.476467972623875 -0.0836076307921943 -0.379900177038167 0.460816897831504 0.316690401153275 1.30145464375675 0.167819848796312 0.0959918168334736 -0.0173326107289036 -0.131098177216568 -0.0472384910875205 0.556226068313155 0.282169216226467 0.256735330852434 0.109389511040117 1.15939918712691 -0.071535778923332 0.272917083962552 0.377751235220955 0.122488498682786 0.104882693159208 0.693131386094264 -0.792902213871661 0.661625131110868 0.249512002568552 0.527941047479308 0.773894290504245 -0.407049400641162 0.0136884644423623 -0.464198383065421 0.586795602608706 0.715786040221243 0.544473900766457 0.179065054513659 0.359002145691725 0.150664843255391 -0.948509230254567 -0.0565838524888016 0.486491323308763 0.211597312819357 -0.547768428177382 -0.113991552533884 0.125766517325671 1.48827824656775 -0.772179348683616 -0.13727563870007 1.11338494071144 0.303131774984797 0.0139937580110474 -0.130138371983364 -0.341178391971461 0.155613148727917
TCGA-KP-A3W1-01 0 -0.468230801258605 0.194700134670303 0.0691228723909982 -0.721377716678399 0.38038094553119 0.581633224539768 0.994284320883856 -0.0649579725235513 0.258126032158766 -0.360056640435784 0.106745949416412 0.173849680565751 0.286589399484927 1.16239835300003 0.84575077916971 0.26886916888629 1.04511101970776 0.760622842704583 0.505039612363901 -0.118215921291848 -0.294569889768411 0.507622157343716 0.745580828878816 0.45354375122658 1.23423682820771 -0.172491115055015 -0.510573118847917 0.0232586077968123 -0.626462560606262 0.035073937733793 -0.679666152903555 0.347864792245628 0.186140217688085 0.726860211857313 0.658042349670817 0.248607172374702 0.655520178564498 -0.0114358001352236 0.441381751842817 0.131457540595523 0.100944814976903 0.580132398214967 0.465710729177397 0.444016513327912 1.3759377287221 1.08641047385531 0.320321123781657 0.34880852290819 -0.405296035583293 0.0543690509585895 -0.215791527250143 0.0825510728772821 0.680031351672909 1.0990137219718 -0.67080059386831 0.352366133614882 1.71489330171428 -0.889247248952119 0.408752636831276 -0.962447299912032 -0.314624100818498 -0.230256131665565 0.530839234620065 0.741894512497169 0.589185385670219 -0.259092198780959 -0.216503520387756 -0.133672667598819 0.0123222308785109 -0.0486194449249004 0.883352837835126 0.252503552253088 0.571134911682063 0.680645272714214 0.456686750432311 0.120645860903674 0.00129013707808607 0.23327155326157 -0.169870165338818 -0.44488689327627 0.630531073259081 -0.276851744903537 0.211112578548602 0.301669547516898 -0.179686773324651 -0.723119101021829 0.812182857253632 -0.451065648108023 1.24969724505622 -0.576158321835209 -0.0584944810719944 0.850537107473933 0.878382611903201 0.24255360373896 -0.611689738533476 0.812111804917924 0.112869901419382 1.09392409580186 0.157342079920306 -1.38739353916545 1.06809200858367 -0.472334699147162 -0.0233577031626104 -0.475456214810065 -0.144210239203027 0.136962181368362 1.12812744415588 0.0916341797088071 0.0305708457006602 0.253895903729346 -0.307977129825255 -0.461799678924036 0.846150161750023 0.910408887018647 -0.547768428177382 0.854740858591006 0.200686639355936 0.0890247854287668 -0.635528824533804 -0.310625950451882 -0.15702730668992 0.170841139444315 0.0404564369533164 -0.900595771895742 0.0544535943473698 0.440200025589601
TCGA-QS-A5YR-01 0 -0.0176075504605893 -0.0866016463282397 0.269855520416465 -0.315977601509007 0.0758643366794569 0.228518299015195 0.256809511545385 0.426569718542065 -0.612297583105043 -0.26141808199169 -0.0531885486151459 0.151156485684631 0.258671066420071 0.118220900320742 0.347315133842537 0.15310990579971 0.408321665618502 0.371148620504396 0.425528797663334 0.363087121078939 -0.352004807250283 0.156003310386604 0.511976524696397 -0.188489051294909 1.10281737485307 -0.571919814634217 0.4568817886814 -0.505383563693958 -0.422255551234286 1.09782819493904 -0.361860187055251 0.130961711951868 -0.0956466188459663 0.522822759989417 0.281388823565321 -0.0458084440748657 0.279960840273321 0.122984693912063 -0.133483582443816 -0.277176519761803 -0.392155565211858 0.31992292679309 -0.0459315631423226 -0.197512086313761 0.0782069643082172 0.682206793050323 0.063212881425971 0.436654438325479 0.875139311439423 0.303352841395553 -0.82238464366076 -1.03221253697064 0.374699382492999 0.221325812653555 0.589911046162029 0.799982431731919 0.694401675778632 -0.497719717946223 -0.680686093378864 -0.318203961396454 -0.823580305903082 0.406045187414532 -0.0437117636109274 0.088335188886683 0.0380621424347915 -0.658556672244897 0.00416556454476078 -0.0710498999976697 -0.661720981227941 -0.158237955921572 -0.170370912853964 0.317767522954647 0.123234577866169 0.527213925148016 0.353304285314767 -0.514078926238015 0.841422775480688 0.47487296656501 0.141478379708856 -0.272099747013354 -0.199869173364258 0.420913733360063 0.656322592198003 0.385038700416498 0.292664989318288 0.404841758332641 0.50303297718858 -0.201453063101071 -0.223072727746649 -0.0276520949267949 0.504062296726663 0.47429868328552 0.373079194820854 0.1430135948544 -0.659115793819754 0.406006187253289 0.423360510927515 0.164192486438856 -0.35985432813827 -0.206362877666118 1.08614289117842 0.387599124059344 -1.1788229813734 -0.614627356431688 0.593403705903269 -0.460115312891525 0.0305965365412646 -0.491050295603533 0.390517574690867 -0.390338197959318 0.190073930581924 -0.568546873721259 0.362130283785527 1.36184454802681 -0.547768428177382 0.725093679831114 0.775147156548578 -0.195476251026862 -0.209476182999563 0.850914841156478 0.236740893431544 0.24880311546315 1.00087217642044 -0.638957366913875 -0.477059831608226 -0.321005516199025
TCGA-KJ-A3U4-01 0 -0.46036443581544 1.1229814518319 -0.523987059149359 -0.694894046979533 0.409792169825707 0.713233699963357 0.85408747687206 0.154365368616277 0.0568272391537348 -1.14589159799624 -0.408662237788434 0.689760794571963 0.209133921597304 0.64294513344484 0.438270543573773 0.102906067686892 0.0264277901883101 -0.164275138854535 0.387226674903435 0.143368385657507 -0.157973946348867 0.026220932896717 -0.392316690975953 1.02714881523709 -0.313724278170683 0.361595497300665 -0.172894009776331 -0.751176117689394 0.101628562758433 -0.332317596149981 0.0281639420056239 -1.02728730628552 0.713250074071193 0.273407994981979 0.170618657549457 1.2847184136316 1.13605790460379 0.882226500025491 0.734002930414579 0.21655926972468 -0.428870381523741 0.183722564849202 1.31745109834485 1.57428518091587 -0.291519193413875 -0.425271885311253 1.07828512939386 0.899814798272485 -0.398087459466591 0.669251223527197 -0.82238464366076 0.456230767434281 0.0963811112941209 0.501948282911396 0.336145063773331 -0.725462627240859 0.139535601388726 -0.737575200875495 1.26504300065403 -0.536195665063356 -0.440185957109503 -0.405234684596017 0.312255592894785 0.766431632403524 0.579634884979728 -0.658556672244897 0.242176788530653 -0.668896547018351 -0.661720981227941 -0.547484928176924 0.469608597874442 -0.00629925906747994 0.573352728035685 0.44972334556913 0.286841084028889 -0.0220978167693327 -0.831975668715613 1.04470395590991 -0.801276854350572 0.774697716602611 1.01229032010131 0.615591677822874 -1.18641902173083 -0.819335965311473 1.0327904323225 0.606427102675102 0.0129559382444138 0.354712023831327 -0.331921211571589 -0.576158321835209 0.282360233253928 0.673544521548273 0.458510790708415 0.767083839235772 0.343524270290165 -0.505399809346098 -0.280811631666343 0.108386331011663 -0.234053578450862 -0.695227310684747 -0.59442594660833 -0.918364890718789 0.27377366327664 -1.0573948362913 -0.102504379730739 -0.736512076243739 1.61968267500191 0.434701651039848 0.706580291682268 0.039866516860478 -1.2457614296073 -0.888897051393493 0.320738753389488 0.597043503140418 -0.547768428177382 -1.11060897138088 0.351037288140759 0.599658121292742 -0.468428092011171 0.711953483141376 0.839168902005413 0.844880106997301 -0.346350336207203 -0.37583386914914 -0.824384157828055 -0.135780931821512
