,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
287,FAM110A,-2.056121245,-6.85E-16,-11.07333095,6.20E-25,3.46E-23,45.86123335
288,E2F8,-2.054329729,1.37E-17,-11.06062233,6.90E-25,3.84E-23,45.75507423
289,RUNX1T1,2.054042844,1.65E-16,11.05858821,7.02E-25,3.90E-23,45.73808842
290,CALHM2,2.05308094,-1.92E-16,11.05176993,7.44E-25,4.11E-23,45.68116439
291,RECK,2.052326935,2.37E-16,11.04642742,7.78E-25,4.29E-23,45.63657388
292,LTBP4,2.052026925,2.38E-16,11.04430222,7.92E-25,4.35E-23,45.61883922
293,NXPH3,2.048465053,7.64E-17,11.01909318,9.80E-25,5.36E-23,45.40860642
294,GPR182,2.04839095,1.16E-16,11.01856916,9.85E-25,5.36E-23,45.40423893
295,HAND2,2.048366347,-3.63E-17,11.01839518,9.86E-25,5.36E-23,45.40278893
296,GLRA4,2.047706199,-3.65E-16,11.01372776,1.03E-24,5.56E-23,45.36389317
297,CENPE,-2.046917455,-5.48E-17,-11.008153,1.08E-24,5.81E-23,45.31744725
298,MMRN2,2.046549594,-5.26E-16,11.00555369,1.10E-24,5.91E-23,45.29579534
299,CTNNA3,2.045764484,-8.93E-17,11.00000755,1.15E-24,6.18E-23,45.2496057
300,TIMP3,2.043563417,-2.10E-16,10.98446956,1.31E-24,7.02E-23,45.12026557
301,GMIP,-2.042512491,-3.09E-17,-10.97705629,1.40E-24,7.45E-23,45.0585901
302,CKAP2L,-2.041974,-6.25E-17,-10.97325914,1.44E-24,7.66E-23,45.0270077
303,KIF18A,-2.041250066,-2.00E-16,-10.96815583,1.51E-24,7.98E-23,44.9845704
304,CDKN3,-2.041156078,3.64E-16,-10.96749339,1.52E-24,7.99E-23,44.97906259
305,FYCO1,2.040988402,8.49E-16,10.96631166,1.53E-24,8.05E-23,44.96923755
306,ROBO4,2.040369824,6.13E-16,10.96195291,1.59E-24,8.31E-23,44.93300303
307,HSPA12B,2.040341448,1.11E-16,10.96175299,1.59E-24,8.31E-23,44.93134125
308,LAMA4,2.037093379,2.25E-16,10.93888629,1.93E-24,1.00E-22,44.74137442
309,TRPC4,2.036617324,2.04E-16,10.93553768,1.98E-24,1.03E-22,44.71357291
310,OSR2,2.03500295,-2.89E-16,10.92418742,2.18E-24,1.13E-22,44.61937187
311,CDH13,2.032297064,1.36E-16,10.90518174,2.56E-24,1.32E-22,44.46174973
312,PTGIS,2.030960916,-9.92E-17,10.89580549,2.77E-24,1.42E-22,44.38404161
313,ADCY2,2.030423731,-4.07E-17,10.89203747,2.86E-24,1.46E-22,44.35282305
314,ZCCHC12,2.030323796,-2.43E-17,10.89133658,2.88E-24,1.47E-22,44.34701676
315,SGCA,2.029669438,1.78E-16,10.88674812,2.99E-24,1.52E-22,44.30900967
316,GYPC,2.029633295,-2.05E-16,10.88649471,3.00E-24,1.52E-22,44.30691092
317,ILK,2.028654503,7.91E-17,10.87963392,3.17E-24,1.61E-22,44.25009812
318,CPEB1,2.028409951,5.24E-17,10.87792021,3.22E-24,1.62E-22,44.23591022
319,JPH2,2.025162255,-9.04E-17,10.85517995,3.90E-24,1.96E-22,44.04775357
320,ABCG2,2.024917412,1.95E-16,10.85346692,3.95E-24,1.98E-22,44.03358809
321,EHD2,2.024646925,4.20E-17,10.8515747,4.02E-24,2.01E-22,44.01794219
322,RAC3,-2.02423101,2.80E-16,-10.84866556,4.11E-24,2.05E-22,43.99389078
323,CRTAP,2.024199567,3.85E-16,10.84844566,4.12E-24,2.05E-22,43.99207283
324,COL4A6,2.024096622,-2.99E-17,10.8477257,4.15E-24,2.05E-22,43.98612114
325,TPSG1,2.023882178,2.31E-16,10.84622607,4.20E-24,2.07E-22,43.97372472
326,VGLL3,2.023804545,-6.95E-17,10.84568321,4.22E-24,2.08E-22,43.96923751
327,HSPA4,-2.023735403,1.29E-15,-10.84519974,4.24E-24,2.08E-22,43.96524132
328,NACC1,-2.022852056,-5.15E-16,-10.83902433,4.46E-24,2.18E-22,43.91420576
329,DSTN,2.021961364,-1.20E-15,10.83280007,4.70E-24,2.29E-22,43.86278197
330,KCNA4,2.021108072,8.14E-18,10.82683951,4.94E-24,2.40E-22,43.81355156
331,TMEM8A,-2.021053265,4.85E-16,-10.82645674,4.96E-24,2.40E-22,43.81039064
332,AQP1,2.018759589,-7.58E-16,10.81044632,5.67E-24,2.74E-22,43.6782284
333,MTUS2,2.018600611,2.30E-16,10.80933723,5.72E-24,2.75E-22,43.66907699
334,NR2F2,2.01795266,-1.58E-16,10.80481769,5.94E-24,2.85E-22,43.6317901
335,C14orf28,2.017854679,6.51E-16,10.80413438,5.97E-24,2.86E-22,43.62615334
336,TPM3,-2.016108586,-5.28E-16,-10.79196225,6.61E-24,3.16E-22,43.52577606
337,HSPB3,2.015870357,-8.83E-16,10.79030228,6.71E-24,3.19E-22,43.51209182
338,CASQ2,2.015615718,3.43E-17,10.78852816,6.81E-24,3.23E-22,43.49746781
339,ARHGEF15,2.01406239,2.76E-16,10.77771022,7.45E-24,3.52E-22,43.40832356
340,UCK2,-2.013355437,2.72E-16,-10.77278925,7.76E-24,3.66E-22,43.36778848
341,B3GNT4,-2.012639388,1.05E-16,-10.76780653,8.09E-24,3.81E-22,43.32675493
342,LRRC70,2.012033668,2.56E-16,10.76359281,8.38E-24,3.93E-22,43.29206207
343,CLIP3,2.011482565,4.30E-17,10.75976002,8.66E-24,4.05E-22,43.26051189
344,HLF,2.011215274,-1.28E-16,10.75790142,8.79E-24,4.10E-22,43.24521469
345,SCARA5,2.011130004,-9.01E-18,10.75730855,8.83E-24,4.11E-22,43.24033532
346,KANK3,2.010389368,4.16E-17,10.75215991,9.22E-24,4.27E-22,43.1979681
347,FLNC,2.010253749,-4.37E-17,10.75121731,9.30E-24,4.30E-22,43.19021283
348,DIO3OS,2.00976923,-9.29E-17,10.74785023,9.56E-24,4.41E-22,43.16251292
349,ZBTB4,2.009614769,-4.76E-16,10.74677699,9.65E-24,4.43E-22,43.15368467
350,PIF1,-2.009556215,-1.87E-16,-10.74637016,9.68E-24,4.43E-22,43.15033829
351,FAM138F,2.008787033,-5.57E-17,10.74102686,1.01E-23,4.62E-22,43.10639345
352,NEXN,2.007373492,3.72E-17,10.73121218,1.10E-23,5.00E-22,43.02570512
353,CCDC141,2.007103773,-1.04E-16,10.72934013,1.12E-23,5.07E-22,43.01031919
354,PDLIM3,2.006988981,3.17E-17,10.72854346,1.12E-23,5.08E-22,43.00377194
355,KLF9,2.006940162,-3.36E-16,10.72820466,1.13E-23,5.08E-22,43.00098768
356,GAS1,2.006903509,-1.30E-16,10.7279503,1.13E-23,5.08E-22,42.99889736
357,DCN,2.006746974,-3.78E-16,10.72686404,1.14E-23,5.12E-22,42.9899709
358,TYMS,-2.006212029,2.20E-16,-10.72315239,1.17E-23,5.26E-22,42.95947368
359,CCBE1,2.00329899,7.75E-17,10.70295612,1.39E-23,6.21E-22,42.79362816
360,PLSCR4,2.000430885,3.76E-16,10.68309693,1.64E-23,7.30E-22,42.63071478
