TCGA-A5-A2K7-01	TCGA-FL-A1YI-11	TCGA-EO-A3AS-01	TCGA-EY-A549-01	TCGA-EO-A3B0-01	TCGA-KJ-A3U4-01	TCGA-EY-A2OQ-01	TCGA-PG-A7D5-01	TCGA-B5-A0JN-01	TCGA-FL-A1YU-11	TCGA-EO-A3KW-01	TCGA-PG-A915-01	TCGA-D1-A3JQ-01	TCGA-AX-A2HH-01	TCGA-AJ-A5DV-01	TCGA-5S-A9Q8-01	TCGA-DI-A2QY-01	TCGA-DI-A1BU-01	TCGA-FL-A1YF-11	TCGA-B5-A5OE-01	TCGA-AX-A3G3-01	TCGA-PG-A916-01	TCGA-DI-A2QY-11	TCGA-AJ-A3NC-01	TCGA-FL-A1YG-11	TCGA-DF-A2KY-01	TCGA-AX-A3FV-01	TCGA-QS-A5YR-01	TCGA-DF-A2KZ-01	TCGA-A5-A2K2-01	TCGA-AX-A3FZ-01	TCGA-B5-A0JR-01	TCGA-AJ-A3TW-01	TCGA-PG-A914-01	TCGA-AX-A3GI-01	TCGA-D1-A2G0-01	TCGA-EY-A2OO-01	TCGA-A5-A7WJ-01	TCGA-AX-A3G9-01	TCGA-BK-A4ZD-01	TCGA-B5-A3FC-01	TCGA-AJ-A3NE-11	TCGA-AP-A3K1-01	TCGA-EY-A3QX-01	TCGA-AX-A0IZ-11	TCGA-AX-A05W-01	TCGA-AJ-A3BI-01	TCGA-EY-A2ON-01	TCGA-AX-A3FS-01	TCGA-SL-A6JA-01	TCGA-B5-A0K9-01	TCGA-AX-A2H4-01	TCGA-AJ-A3EJ-01	TCGA-AJ-A3NC-11	TCGA-EY-A1GP-01	TCGA-EO-A3KX-01	TCGA-AJ-A3BH-01	TCGA-D1-A3JP-01	TCGA-AJ-A3NF-01	TCGA-FI-A3PV-01	TCGA-AX-A05Y-11	TCGA-EY-A54A-01	TCGA-EO-A22U-01	TCGA-D1-A3DH-01	TCGA-FL-A1YQ-11	TCGA-SJ-A6ZI-01	TCGA-DF-A2KR-01	TCGA-AJ-A3NH-01	TCGA-EY-A1GL-01	TCGA-AX-A3G4-01	TCGA-SL-A6J9-01	TCGA-BG-A3EW-01	TCGA-A5-A2K3-01	TCGA-B5-A5OD-01	TCGA-B5-A5OC-01	TCGA-EY-A1GX-01	TCGA-E6-A8L9-01	TCGA-BG-A0MK-01	TCGA-AX-A3GB-01	TCGA-E6-A2P8-01	TCGA-QF-A5YT-01	TCGA-5B-A90C-01	TCGA-AJ-A3OK-01	TCGA-AX-A3G1-01	TCGA-SJ-A6ZJ-01	TCGA-K6-A3WQ-01	TCGA-EY-A3L3-01	TCGA-AJ-A3BK-01	TCGA-KP-A3W0-01	TCGA-AX-A2IN-01	TCGA-BG-A2AD-11	TCGA-AJ-A3QS-01	TCGA-EY-A210-01	TCGA-DI-A1C3-01	TCGA-AJ-A3EL-01	TCGA-AX-A2HC-11	TCGA-A5-A3LP-01	TCGA-FL-A1YT-11	TCGA-EO-A22Y-01	TCGA-AX-A3FT-01	TCGA-A5-A2K5-01	TCGA-DF-A2KN-01	TCGA-AJ-A2QM-01	TCGA-AX-A3FX-01	TCGA-AJ-A3I9-01	TCGA-AJ-A3EM-01	TCGA-FL-A1YH-11	TCGA-KP-A3W4-01	TCGA-PG-A5BC-01	TCGA-B5-A3FD-01	TCGA-E6-A2P9-01	TCGA-B5-A3FB-01	TCGA-QS-A8F1-01	TCGA-FI-A2EY-01	TCGA-BK-A139-02	TCGA-EO-A3KU-01	TCGA-B5-A11R-01	TCGA-B5-A1MS-01	TCGA-A5-A3LO-01	TCGA-KP-A3W1-01	TCGA-A5-A1OH-01	TCGA-AJ-A3OJ-01	TCGA-A5-A2K4-01	TCGA-AJ-A2QO-01	TCGA-AJ-A3NH-11	TCGA-EY-A4KR-01	TCGA-BG-A3PP-01	TCGA-AX-A1C7-01	TCGA-AX-A0J0-11	TCGA-BK-A4ZD-11	TCGA-A5-A7WK-01	TCGA-AX-A3FW-01	TCGA-AJ-A8CV-01	TCGA-AP-A5FX-01	TCGA-JU-AAVI-01	TCGA-EO-A3AZ-01	TCGA-DF-A2KU-01	TCGA-BS-A0V7-01	TCGA-BK-A6W4-01	TCGA-FL-A1YL-11	TCGA-EO-A1Y7-01	TCGA-BK-A13B-01	TCGA-QS-A5YQ-01	TCGA-EO-A3AU-01	TCGA-AJ-A3NE-01	TCGA-BG-A3PP-11	TCGA-B5-A3FH-01	TCGA-AX-A2HD-11	TCGA-B5-A3FA-01	TCGA-AX-A3G8-01	TCGA-A5-AB3J-01	TCGA-DF-A2L0-01	TCGA-4E-A92E-01	TCGA-AJ-A3BF-01	TCGA-EY-A2OP-01	TCGA-AJ-A23N-01	TCGA-FL-A1YN-11	TCGA-QS-A744-01	TCGA-2E-A9G8-01	TCGA-PG-A6IB-01	TCGA-AJ-A3BG-01	TCGA-EO-A3AV-01	TCGA-B5-A3F9-01	TCGA-QF-A5YS-01	TCGA-EY-A72D-01	TCGA-AJ-A5DW-01	TCGA-AX-A3G7-01	TCGA-AJ-A6NU-01	TCGA-EO-A3L0-01	TCGA-AX-A3G6-01	TCGA-B5-A1MW-01	TCGA-FI-A3PX-01	TCGA-D1-A3DG-01	TCGA-EY-A1GO-01	TCGA-BS-A0V4-01	TCGA-AJ-A3OL-01	TCGA-FL-A3WE-11	TCGA-BG-A3EW-11	TCGA-AJ-A3NG-01	TCGA-AJ-A8CT-01	TCGA-EY-A5W2-01	TCGA-DI-A2QT-01	TCGA-KP-A3VZ-01	TCGA-EY-A548-01	TCGA-B5-A3S1-01	TCGA-PG-A917-01	TCGA-EO-A3B1-01	TCGA-AJ-A3BD-01	TCGA-DF-A2KV-01	TCGA-EO-A22X-01	TCGA-AJ-A3EK-01	TCGA-D1-A3DA-01	TCGA-KP-A3W3-01	TCGA-AJ-A3IA-01	TCGA-AJ-A8CW-01	TCGA-H5-A2HR-01	TCGA-EY-A547-01	TCGA-FL-A1YV-11	TCGA-BK-A6W3-01	TCGA-BK-A56F-01	TCGA-EO-A3AY-01
Lable	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ARHGAP11A	0.699354364971002	-2.21492917414718	-0.508481517158093	-0.348975253657108	1.05207360123858	1.1229814518319	0.341320679942317	0.912077916750955	0.73706511097443	0.429336687506303	0.891329726382274	0.901885823236515	0.311545206746561	0.292180229069125	0.861554253186517	-0.362006573221999	0.012334461429789	0.174752751649185	-1.65989688161797	0.121753865374098	0.20663944421579	-0.337472748119383	-1.90508953130821	-0.0765551541497204	-2.30811402913635	0.243622183539615	0.895988969131732	-0.0866016463282397	-1.16740036286664	0.620802444241853	0.78853518322235	0.647593090051238	1.12487426919887	-0.925410942566647	1.0150180612468	0.913825132782002	-0.73496439518254	0.958524742909617	0.54836577962137	0.296184265806941	0.336515835856939	-2.26224960832137	-0.443179317997717	0.97970973728606	-3.15544100352611	0.0646053410252736	-0.488825336808816	0.233721292697017	1.33344818290509	-1.08826603679381	0.653999548831743	0.223529199182576	-0.16835679644764	-2.30942444115963	-0.392146049757556	0.692947906190496	0.224038803858298	-0.629330625972167	0.457874549346735	0.536936074751605	-2.21216274876469	0.828138746592746	1.03117980953398	0.766694982834265	-0.390762837066312	0.243039778195932	-0.881293737782714	1.31830564396935	-1.84262655819828	-0.223612503429497	-0.157145493581756	0.470032260896102	-0.246399112501066	-0.206140343119028	0.142283653738898	-0.550487502571177	-0.105529819997914	-1.56445520592203	-1.56896884733557	0.900866613885071	0.0603829022835766	1.35572518730093	-1.10996063584597	1.09480759333127	-0.286803483219025	-0.48729652278165	0.719083345988238	-0.110989870094935	-0.121545966949177	1.06969136288497	-2.35783688535322	0.962601580315393	-0.843801393783167	-0.64563797559527	0.985533790722882	-2.60433994706675	-0.0967937398426791	-1.86708758263294	0.136969204977797	0.594521403108191	-0.805872245775859	0.625680088995193	1.26406914633893	1.12501987053479	1.23123604508885	1.11970542177369	-1.26539006194118	-0.416315871520372	0.697752750275875	0.463334599443756	0.31132680474268	0.589862160358732	-0.752800558832811	-0.378168321509182	1.11963262110573	0.77805188703607	0.421328614030672	0.753445261265493	0.589934961026693	0.194700134670303	0.630484933080572	0.478040334371734	0.144322072441785	0.466537828834009	-1.63172302311734	0.972793673829832	1.08949314457017	-0.569488476908812	-1.6233509463019	-0.824509216773691	0.565765139263878	1.14715127359472	0.355735212198454	0.55884907580765	0.223966003190338	-1.25250434371221	0.0678085704155265	-1.81947594578691	0.36468969435757	-2.51807115553381	0.888272098327942	-0.447547358075334	-0.499235832327137	0.660478808280209	0.776304671005022	-2.95997121005274	0.519900718448898	-1.46217026743783	-0.142002954646017	-0.0629414292411465	-0.88544337585645	-0.224922915452781	0.0368682865324049	0.531840027994385	0.683338218019739	1.56866714108477	-2.19549139580179	0.673946931852862	0.625461686991312	0.769534208884716	-0.318617375117669	0.726873017459989	0.146797295152436	-0.620230542477131	0.581198880871458	1.07376820029075	0.332803001790964	-0.111717876774538	0.588333346331567	1.0252829554292	1.02542855676512	1.33585060494778	0.225567617885464	-0.26030404008148	-2.09466247067679	0.571734794036621	-0.687935163680196	-3.01733813640545	1.13135352864733	-1.10937823050229	0.152038943245576	0.208605062250717	1.14402084487242	-0.255936000003863	0.177519177031676	0.0149552854763584	0.0735598231843886	0.30608515664954	0.0780734645979261	0.998128306280012	1.38484545448505	-0.480089256653582	0.325231732323094	0.807317755556104	0.557684265120285	0.342194287957841	0.108358542469405	-1.98174863467039	0.48466519515612	0.130635546865252	0.0472059813827646
CACNB2	-0.859570640323995	1.75854863066169	0.136426148378814	-0.197911724219615	-0.413244175409604	0.0568272391537348	-0.750388779645025	0.196377936144953	0.0507646988178328	0.943529897912094	-0.487903236953579	-1.27401263384216	-0.103324868053001	-0.07727839846172	-1.42855127777491	0.497035029099484	-0.344591519568792	-1.03403707887939	2.1534557719864	-0.889771072738024	-0.07727839846172	-0.3285370146052	0.870049663655656	0.103194445796834	2.67258885556435	-1.68525495329416	-0.738993449198839	-0.612297583105043	-0.637838841001665	-0.625096279369724	2.09608617732629	0.102689234102176	-0.184832354791235	0.238703449230785	-0.57990790001416	-1.0240451142517	0.0722642631571881	-0.256572415432738	-0.39157620717203	-0.310068720433796	-0.705481073453161	2.19802667038182	-1.20457409314299	-0.31220183647791	1.86425014411079	-0.881350877827049	-2.26439595927099	-0.0555542955914058	0.049417467632077	-0.751286933768862	-0.247534739561625	-0.323484897658616	0.280916693051137	2.29558866208365	0.248807683123954	-0.256965357861917	-0.619089873666562	-0.0612800281308683	0.864380065748933	-0.065995337281014	1.9464312464419	0.748854991570362	-0.115562217990284	-0.052803698587154	1.43745853138986	-0.179275026149992	0.0263461335760067	-0.488969794975635	-0.971278559476257	0.752447608065711	-1.04560081322379	-0.593548615769939	-0.865577046027157	0.32947315037109	0.699512649392052	-0.443837550252812	0.50478160841758	-0.116348102848642	-0.746796163149676	-0.313885875460105	-1.27288994118737	0.268791612379334	0.476377484251226	-0.4080236545648	0.363210064647728	0.00928120522309819	-0.557903123980147	-0.773179440537396	-0.139194898373753	0.084220939930772	2.62167474366932	0.0841086706652921	0.987090372918202	0.833393748476547	-0.586307248146501	2.54538777777589	-0.674550890813514	1.9602403660959	0.0133790334131057	0.0422322346413786	-1.3149347811095	-0.578504534195665	-0.0281605948143686	1.00830926409386	-1.37730035808345	0.100219310261623	2.62773728400522	0.0316789236862906	-0.139643975435671	0.313755453203938	0.171398024575728	-0.431375661784569	0.156353943001454	-0.399659594286565	0.493049470174956	0.20373157303387	-0.489699545201253	-0.000823028670071145	1.05956018378532	0.258126032158766	1.23840512369442	-1.04150298503378	0.0128176870857077	-1.20580905506327	1.33405853788309	-0.9572449012913	0.00159076053774142	-1.33093315144035	1.6630074857385	2.53068050399806	-0.623412240387529	-1.03993121531707	-0.680781835047635	0.56097237579015	-0.28239434649306	-0.995584855452604	0.139906495608683	0.606665966840372	1.57285526555833	2.0054848800842	-0.417229734334132	-0.595401058650354	-0.962858364565283	-0.224744078669254	-1.31454183868032	2.77172261698289	-0.766892361670535	1.80985568498589	0.233089985956801	-1.37359547232262	1.62955124462556	-2.26439595927099	0.184870336433287	0.163763714523111	-0.743540354450766	0.0440285428890534	2.03967087142276	-0.15317242192597	-0.666916580760897	-0.875625145287586	-1.01871232414141	-0.591190961194866	-0.489306602772074	-0.151881325372954	-0.463540806344492	-0.813596376110074	0.187620933437539	-0.642161207722632	-0.0643112982988193	-0.279868288019768	-0.752185087892699	0.553506469635753	-1.10515965856075	-0.832513747343397	-2.26439595927099	-0.494414854351399	1.76736176800184	2.52725629140093	0.208895959245935	0.415415273095771	-0.369964373567195	-0.433621047094163	-0.416724522639474	-0.176692833043959	-0.427558506758261	-0.126676875272771	0.114028429915622	-0.187919759591925	-1.45122966940181	-0.0939503843854497	-0.172651139486692	-0.444960242907608	-0.511423648071567	0.408286174737812	0.0346540592215017	-1.36927310560165	1.53215765682195	2.06756978389446	-0.276500210055378	0.504051858191962	-0.665737753473361
CCNA2	0.755326892440515	-2.32355077888303	-0.728707513313715	-0.24676437772133	0.936226126318806	0.689760794571963	0.549939115984812	0.552811672298878	0.314676753862825	0.253922187820334	1.31016114450232	0.923874134168324	0.235035130055351	0.279344311199816	0.246094471864505	-0.557431343087543	0.0585165445560099	0.524876062144588	-1.72304288142758	0.686744610442195	0.937446962752285	-0.38213359402168	-2.44857879245274	-0.512978534127375	-2.65051950133157	0.407173067175743	1.36265711114187	0.151156485684631	-1.19233810240393	0.71058682784894	1.17464830038627	0.769330604471585	1.50621311293731	-0.467879399996543	1.01759128391472	1.08057208110061	-1.05258823772463	0.937446962752285	0.99051744065465	0.518771879977198	0.665918577165218	-2.70086105073557	0.524876062144588	0.352091799853531	-2.67608525252675	-0.465868610576697	0.138301796179187	0.448896947637548	1.46369927948913	-0.196422828317328	0.490261758560096	0.0846568070140087	-0.469315678153575	-2.16649376241149	-0.633482271502434	1.00136134074025	-0.0462599469995399	-0.568059801449587	0.904771634679786	-0.0600482173070554	-2.53532999313753	0.813496157800346	0.886530902085469	-0.00324341619640444	-0.439010209040182	0.420243198404742	-0.541919538991588	0.0623226816721471	-1.78616730642918	0.806099325291627	0.622830232454231	0.28042151981759	0.490118130744392	-0.280660542227307	0.157188853944169	-0.942425703080209	-0.109887069356096	-1.5336696064228	-1.26451107979483	0.782328921792732	0.54943641862985	1.00416208314646	-1.13747227680527	0.729330257798219	-0.351181799737622	-0.195704689238812	0.0824305758706078	0.219954209406506	-0.716355521163233	0.991594649272425	-2.97863724630573	0.786709570171683	0.0208860568417479	-0.627737158874303	0.939242310448576	-2.99824244314923	0.0195215925925673	-2.03787505344919	-0.301558389412135	0.699527486039787	-0.274053662704955	0.470369306085189	0.378160248403679	0.628575345082362	1.16840049040317	1.81458203325227	-0.913412884308145	0.164729314268592	0.374928622550355	0.187350695241859	0.285448493367205	0.273671012479536	0.101604889266997	-0.96210271383156	1.34901246865006	0.675182571278079	0.0794143917408382	0.0421429735658349	0.54548665369801	0.173849680565751	0.763370050119899	0.463116101392174	-0.0052542056162509	0.82067754858551	-1.73338408415822	0.823765546623132	0.185124464098458	-0.130497660909518	-2.03550519449009	-0.818690339851825	0.643871707454762	0.760210238174426	0.31359954524505	0.405090463848045	0.0632562624742188	-0.894310384819607	0.228787320072258	-0.391613029858096	0.109001721775716	-2.23586599739617	0.79180835762915	-0.321163586255634	-0.394485586172163	0.825919963858681	0.766817117696778	-2.95694944613453	-0.419333198288831	-1.37402728926859	0.0438665073542741	0.384479872294623	-1.03370117995965	-0.628598925768522	-0.423857474483485	0.440207464787499	0.587641417606926	0.471805584242223	-2.20491420311212	0.731915558480878	0.817804992271445	1.2482575559342	0.142467002834582	0.381535502072706	0.0600964505287462	-0.494522359809504	-0.276567149479762	1.08911793613496	0.0919100117070245	0.321858144647989	0.549292790814146	1.02886606744743	0.904556192956232	0.831449634763258	0.12099464438694	0.587713231514777	-1.37129836077023	0.514247603782544	-0.991977299497844	-3.0251726585936	0.763513677935602	-0.875064257515366	0.609544659501677	0.287890166234162	1.1148991290537	-0.244179077038671	0.423331196442362	-0.388094148373366	0.986064978367847	0.638916547812999	-0.0782889499013726	1.0321695072086	1.08904612222711	-0.658688953158362	0.067349655221762	0.664482299008184	0.746996479129724	0.916118232120346	1.03374941318134	-2.06078369005387	0.188140648228228	-0.0390067423065229	-0.203891474733899
CCNB1	0.851327167558362	-2.6870709992691	-0.733002441137453	-0.582315028056634	0.945605230754294	0.209133921597304	0.612661212588551	0.539357691925958	0.867648654580892	0.0227253592873491	1.48249625123227	0.390746257457653	0.783320971631151	0.112207196033679	0.35280595867721	-0.512089682578114	-0.344579684188985	0.468058564406482	-2.18575795708146	0.416588611909994	0.906018466177719	-0.403637696441563	-1.73770450412524	-0.536285571234322	-2.36708395106423	0.462403312324115	1.06629833215774	0.258671066420071	-0.636147301043226	0.853474731640273	0.569065661725739	0.539214520987164	0.956128294755663	0.0859353287649566	0.520387542535736	0.881393064705129	-0.550602665113735	0.771580954650032	0.810022351716256	-0.176210660167091	0.621537810793787	-2.99904047490151	0.44787146203651	0.341638625451267	-2.79616725463023	0.203979767800714	0.452882444894305	0.382084415660609	1.2625141037751	0.00855143634673046	0.336054958838297	-0.155307703103148	0.156375430651667	-2.61555711534143	-0.754621252895366	0.545227700416518	-0.213435104253564	-0.769725786938146	0.396043582193036	0.0575158974143224	-2.53158735973868	0.729631869583354	1.08576957983375	0.565343217317091	-0.89106315756617	0.260603874093792	-1.33009684137836	0.508361183677029	-1.27239895304433	0.418306663175523	0.454099397874056	0.38816918055936	0.542936965395811	-0.266193595199201	0.0422681924327477	-0.827208918863989	-0.105698972810983	-1.35372004627939	-1.62245189839597	0.240989455478996	0.679522041005409	0.829064086575875	-1.64628985970519	0.941739615406853	-0.0749172209702459	-0.257460167932759	0.651746878879348	0.835005680535832	-0.122879485466279	0.806944176532182	-2.455563591239	0.347866561288813	0.293604775485838	-0.672011621211154	1.07632029787333	-2.79466395977289	-0.0363326529652282	-2.08210219739452	-0.0921693190949387	0.526185965556899	0.763491796608165	0.569280418133931	0.583167999196961	0.644445161000847	1.21161683503378	0.903512974748821	-2.07530157780179	0.659334938635437	0.0669651793747344	0.526973405720266	-0.00998920022710907	0.501417393145514	-0.275499706220819	-0.554253524052985	1.03250999060233	0.491323841960528	0.123231358320826	0.430118265626039	0.689615592190394	0.286589399484927	0.43641778693298	0.453813055996467	0.497551777798072	0.579016041971931	-1.5267421258121	0.607149131444977	0.473427474611262	0.639935276428832	-2.07150754792375	-1.47885144678546	0.826129082330595	0.643586135368083	0.423389231502714	0.737792613094618	0.482160901877704	-0.00640992675725533	0.585601905156462	-2.84463061741204	-0.362332880599457	-2.14409521389237	0.916183602832101	-0.406214773339857	-0.323891483533233	0.468130149875879	0.548305875600591	-2.33945195987696	-0.51609846886435	-1.30690314929371	0.158379823794785	0.612661212588551	-1.29473361949621	0.0572295555367335	-0.44830702934533	0.705435980927146	0.837081659148345	0.678806186311438	-2.26407246060185	0.387954424151168	0.947609623897412	1.11082449412272	0.269552057768424	0.171623135633242	-0.144355126285397	-0.188809702780975	0.202190131065788	0.670645442800172	0.380223193456285	0.000390692835465137	0.839515565107846	1.08655701999711	0.851183996619567	0.89062759025735	0.963215256225973	0.404347496643095	-1.18148540691006	0.299832711323383	-1.14540633033394	-2.55363568431297	0.883970141603422	-1.43726028906577	0.963215256225973	0.686609002475718	0.772941078568577	-0.4295516363633	0.643371378959891	-0.301055718795571	0.410575432480641	1.04969050325763	0.248863857112673	1.11490486587835	0.974311003982517	-0.238060505726154	-0.452816913917346	-0.311578782796939	0.321236766673105	1.21347805723811	1.12399622049178	-1.91688293402609	0.271628036380939	-0.248440398788728	0.81088137734902
CCNE1	0.478303474321994	-1.88817491170173	-0.228425756740165	-0.535074722601736	-0.0208925166154474	0.64294513344484	0.727798116583482	0.438047400104576	0.627648858774293	-0.472546032225514	1.0843666815388	1.13619831496636	0.575920578553964	-0.463295920178123	0.0471655703477631	-1.7346953989601	0.484918079584934	-0.416373564094148	-1.62694968041925	1.30032320805304	0.878952182162366	-0.724417798253371	-1.59945772729516	-1.2826284705211	-2.22030044314635	0.1836434804995	0.242813191640636	0.118220900320742	-0.128741588363526	1.32574809703246	0.198164606115796	-0.680079272350232	1.57240052609503	-0.0854365945327214	0.823296480067167	0.160492362079213	0.264672394970505	-0.626232251381617	0.256145755373748	-1.01959455811203	0.170620976388089	-1.67914305007213	0.630801131594913	-0.161039465623972	-3.0531722636369	-0.061045237625633	2.33602569773919	0.679532168805473	0.307305592954293	0.137702979884242	0.196149218574745	0.981633593548774	0.736221402973006	-2.9975165615417	-0.181451724052573	-0.413324644480762	-0.382680418536052	0.45417050043299	-0.271058954723952	1.29758434806135	-2.70642225336876	0.870063806340292	0.158476974538161	0.884791638371054	-1.03091173430409	-0.278707092059226	-0.858105171809806	0.8237098928961	-0.356480380502378	0.705990589857229	1.0865370988907	-0.260826987207843	1.21510848868908	0.600777024893603	-0.355291818619194	-0.526651436212212	-0.216591814511938	-1.2888296629551	-1.48427057783351	0.119771198429244	-0.2869753486379	0.574783693274396	-1.74368712798941	1.01791056928771	-0.116494233306366	0.447142482341117	0.968146000004812	0.407816586988799	0.598348224523618	0.147314828156952	-2.06847458172044	0.630491071973212	0.102459536217645	-0.883891797014546	0.992278973893816	-2.128936207952	0.798543386934761	-1.79293493123613	0.0785332687431069	-0.0944800001656461	0.592612121522162	0.676173189570386	0.809912239730438	0.210928727209124	-0.431359779142995	1.44253722120623	-0.926369965187483	0.441354702736045	0.779939809632745	0.359395609399939	-0.982645786526083	1.12824011800939	0.776994243226592	-0.0942216171475622	1.06653825329103	0.716377587184189	-1.10739310765683	0.243898400316587	-0.254935854395538	1.16239835300003	0.501402916138665	0.443215060466247	0.472153958491606	0.489258914288738	-1.7492165245764	1.50196531536545	0.760819466294561	0.595609364531932	-1.9780405253912	-1.75738142794784	0.859780162220566	-1.05488967838225	-0.196954705137587	0.989281730884047	1.19872700534258	0.630749454991296	0.348956935469363	-1.2470749672328	0.104681630173164	-1.89432442753212	-0.410017341849292	-0.890971491710035	-0.192303810812082	-0.573263732674487	0.257644376878632	-1.93241008439764	-0.491873081978165	-1.64999744563231	-0.0479193803069884	1.14338136286908	-1.70782356507941	0.899416117194584	-0.510114923054864	0.788311419418652	0.215269561912928	0.803245957863882	-2.15875360823884	-0.930452416873203	0.918433107325535	0.613386116176081	-0.159695873929938	-0.207393379068163	-0.335654709244843	-0.0281789177254043	0.504141776130351	0.0945013392606715	0.25046132897591	0.100082412451276	0.977706171673903	2.57451322343032	0.529101575677223	0.957500619659769	0.725214286402647	0.41722172884704	-0.377306051759913	0.181473063147599	-0.833300402073784	-2.37388330909521	1.53669199299588	-1.23389743331054	0.607856719589092	0.4841946071343	1.04845144202518	-0.791287323333396	0.115378687121823	-0.0920511997956608	0.241417923342985	1.48315503164897	0.565636934434239	0.175220194109976	-0.579309895297642	0.255680665941197	0.72862494224135	0.222090873590335	-0.313795505914974	1.42067801787636	0.657827995286454	-1.79577714443505	0.436858838221391	-0.808702338752229	1.57405417741076
CDC45	0.980973281897092	-2.51387123975092	-0.36180418027627	-0.287686307747274	1.10366744995083	0.0264277901883101	0.120553231370634	0.756207404259704	0.368448425961869	0.241970320574164	0.711793439802316	0.216144948269868	0.108018938951882	0.372989150762625	0.229436028155412	-0.273212747444867	0.110478498218958	0.688947918148516	-2.10217885781577	0.711935337452339	0.419295083886994	-0.24852255634076	-2.23764381437164	-0.42376615411991	-2.25136058720725	0.708387896201749	0.952120759725626	0.408321665618502	-0.237454539638918	0.179156960830382	0.584605846164492	0.262308983744214	0.868448445428374	0.167568652745121	1.05669932779302	1.04738138210814	-0.34960098237424	0.453303220675985	0.465222623277967	-0.0914891569813049	0.474398671312827	-2.42461761788607	0.515359792952974	0.285958592081481	-3.18670259694617	-0.118733505785837	0.700961919183848	-0.0308042619878769	0.720591094103779	0.330703651055591	0.311452869869055	0.477662317263369	-0.200797646716154	-2.31053190726709	-0.032223238488113	0.665676703544645	0.288843844298628	0.0786934246136708	0.435660612856383	0.339548604573728	-2.96345029424237	0.614546250319473	0.746038072674679	0.639189142206905	-0.460990637642769	0.0673416126117826	-0.848749615940603	0.306202656818182	-1.07744132856198	0.217280129470057	0.36835382752852	0.248403014041901	0.772998626179164	0.451647748092375	0.150635533175637	0.0636522737111686	-0.0682179423774335	-1.36965588917725	-1.18315507782956	0.553955953759394	0.688238429898398	0.728017071121681	-1.7310219045707	0.40141597998402	0.322047894404151	0.447580015458366	0.74386230870765	0.691312878982242	0.404774224367912	0.855062767109481	-2.39046758344706	0.403355247867676	0.433721344972727	-0.429016367170783	1.03380650692255	-2.0841105570461	-0.310437230967725	-3.22728532485292	0.0751459833630806	0.273282402012706	0.718320731703402	0.48830464101514	0.435755211289732	0.048280028291945	0.26476854301129	1.36537401581103	-0.880865784062612	0.379374545013687	0.411963705302441	0.237524194206757	0.118330168186931	0.263775259461124	0.267937590528484	0.767464617828243	0.605890493668033	0.419484280753692	0.0663010298449427	-0.116132048868737	0.24495017122466	1.04511101970776	0.740693261190456	0.164777998961324	0.474871663479572	0.245612360258103	-1.80826152540021	0.712692124919132	0.667237577694904	0.340305392040521	-2.2408601611055	-1.35882436855878	0.452782929292564	-0.0742249428950997	0.203326860551069	0.175987913313189	0.464796930327897	0.423835808687749	0.970567454228695	-3.6719925600269	-0.0579067131423851	-3.11589566958439	-0.203635599716626	-0.120483576802794	-0.157424265025606	0.47307429324594	0.636871480589853	-3.41572540408427	-0.121429561136285	-1.21962277388563	0.110856891952354	0.694150831982714	-0.772124884927857	0.489912814382074	-0.236839649822149	1.12121545933709	0.542509543324156	0.0890519530653937	-2.37008162106033	0.461580583594028	0.289553332548746	1.12343852252079	0.267748393661785	0.660710285793818	0.0421311301242556	0.39233453038251	0.509210894785284	0.534326778839462	-0.672796529911334	0.137675547806815	0.607924359985038	0.649689568308652	0.720212700370383	0.24088243859065	1.03399570378925	1.0130894500191	-0.655579615041804	0.519049131853587	-0.418279444985664	-3.00942513285002	0.704698557301136	-1.0042221411498	0.59709283936657	0.321905996754127	0.776498768213079	-0.487620096630532	0.330750950272265	-0.303768041416616	0.417024721486616	1.25824129004321	0.466547001344854	0.780330004763716	0.740977056490504	-0.288301197564043	-0.0883674086807853	0.234828138856309	0.376773088096588	0.774275705029376	0.128357602121932	-2.69843278321495	0.10674186010167	-0.0212025210029465	1.20649594700127
