GSM1555085	GSM1555086	GSM1555087	GSM1555088	GSM1555089	GSM1555090	GSM1555091	GSM1555092	GSM1555093	GSM1555094	GSM1555095	GSM1555096
Lable	0	0	0	0	0	0	0	1	1	1	1	1
ARHGAP11A	1.76860236587905	-0.0609633020622038	-0.0887969367707546	2.05448626386443	0.370228750746442	0.311201356538292	-0.816033751516188	-0.695394734011721	-0.908589518109989	-0.992359456424836	-0.500995696761078	-0.44138534137144
ASF1B	0.877412714717404	2.04915024367312	-0.623392437378751	0.922380528444285	0.893213846099122	-0.122969584546494	-0.082645393755555	-0.829306747511755	-0.133218699089421	-0.8058097218922	-0.674285459901133	-1.47052928885862
CCNE1	1.66820599328181	1.47419531219888	-0.222559710317131	1.24961436605322	0.39027112646104	0.336802917041011	-0.738235741910876	-0.787686774719474	-0.553856029605611	-0.852630890711527	-0.842494717770598	-1.12162585000075
CDC20	1.14391889345161	1.59932346730341	-0.0907928450594239	1.08314776532854	1.02431331465774	-0.0949286542190217	0.214990554497524	-0.852404112673595	-1.17156065905328	-0.835381847784843	-1.07827244214824	-0.942353434300408
CDCA3	0.747884876306662	2.18737206124797	-0.440169279555269	0.976448217803836	0.648112195131915	-0.0624913803583184	0.200840950800333	-0.412922144902761	-0.68229055844531	-1.27065072269057	-0.901820210971098	-0.990314004367388
CDK1	1.25365520867733	1.14063981564107	0.106294707127043	1.15745968267697	0.427826659244955	0.12315216195837	0.564154910386192	-0.638751136503375	-1.10543730336757	0.00470233837875204	-1.63544329976701	-1.39825374445273
CSRP1	-0.993179388640238	-1.5533692276768	-1.12568790674058	-1.3530678660144	1.09367942647317	0.108809066256868	0.977326526469251	0.687157664050297	0.761822132838402	-0.185170532640738	0.760600433396376	0.821079672228396
E2F1	0.271903810678677	2.52090505298715	-0.877253007962786	-0.219229395381115	-0.865772996417841	-0.30054531484475	0.703624682773509	0.244246168132755	0.783307437575684	-0.723581462332479	-0.628121630626254	-0.909483344582538
ESPL1	1.15233062049451	1.706003143567	-0.123071160203763	1.30915036936026	0.783111461025152	-0.139914805108677	-0.239712931448004	-1.12948022474226	-0.983401316695584	-0.762417142322435	-0.410966934534267	-1.16163107939193
FOXM1	1.23809756359397	1.93510619277878	-0.298591377755837	0.979460563476792	0.787297282179235	-0.0106957814539154	-0.286274315450493	-0.633338090254056	-0.660174817429346	-0.870680003760178	-1.10408391899515	-1.07612329692981
MCM10	1.75688361222708	1.08840193416441	-0.304913370329859	1.10627019817176	1.27690394738978	-0.258057939763143	-0.669379506942724	-0.719237716415614	-0.738582907151197	-0.902405630096036	-0.978548397388736	-0.657334223865728
MELK	1.16400454695888	1.22396705175097	0.20038685024364	1.15606828977893	1.09103782687487	0.354735624563446	-0.0933210328068195	-0.888645288759364	-0.858846071241983	-0.843602409149624	-1.06987996449733	-1.43590542371561
MYBL2	0.792407821336966	2.01800795553957	-0.421466268709538	1.11836734201636	0.675260467976714	-0.241111611804657	0.204467729251197	-0.667508481438676	-0.102973211084555	-1.24310394710798	-1.20848308188029	-0.923864714095112
NDN	-0.970454912699355	-1.837770217631	-0.581260769867724	-1.50368663113461	0.427294822499179	-0.0764024622268185	0.380241385898914	0.770719407851224	0.859693515003707	0.413059073214966	1.08183163153713	1.03673515755438
NEK2	1.34107425310991	1.17077423315945	0.0488726880578508	1.70250499502323	0.77508668128059	-0.0804354354718799	-0.529561652245745	-1.13877893396805	-0.859053400789513	-0.650891505887087	-0.902191835360563	-0.877400086908203
PPP1R12B	-0.988006348889652	-1.55896375988789	-0.675754785942232	-1.480436903657	1.11568432011656	-0.342774282942791	0.47363978680555	0.752822313045179	0.678736799513321	-0.112958354003657	0.940891425793406	1.1971197900492
PTTG1	0.964764436824845	1.29914053349042	0.623602723621517	0.777882306194469	1.34913556847101	-0.111877202344572	0.166596808899051	-0.799575484525193	-0.608923192484245	-1.04183309661783	-1.34236654629557	-1.2765468552339
RUNX1T1	-1.37923735120021	-1.51739247143429	-0.702888068788065	-1.26500118620179	0.554610375042575	-0.401535759850107	0.459741942767849	0.748725837975287	0.672434065432327	0.505859913783696	1.320504954986	1.00417774748673
SOX15	-0.837433747188949	-0.163068403826641	-1.27471729644207	-1.09899738598461	-0.287329137397968	-0.842642541092282	0.250536164282507	1.41321546524056	0.651632642375014	-0.568984150999711	1.51267890852507	1.24510948250908
TNXB	-1.54205025993609	-1.06131732364862	-0.915474227416442	-1.3234834784399	1.1656009792199	-0.5909708680825	0.565874096634811	0.562921296682929	0.741498861467117	0.741789081597721	0.615177162656305	1.04043467926477
ZBTB16	-1.01138079251334	-0.910966797286309	-1.1397356924134	-1.00796258619092	0.78585662306722	-0.816841446397705	0.904786339273967	1.59883648270189	0.0801693550458926	-0.421832705906071	0.73696647246891	1.20210474814987
ZEB1	-1.15908752452208	-1.80876840472079	-0.747779071295298	-1.32656843973321	0.753791149262239	0.0483881752843215	0.572282018777325	0.879314785835632	0.17561579276301	0.640920791517213	0.919330788996957	1.05255993783469
